week,gameday,matchup,spread_display,total_line,capture_date,line_type
4,2025-09-25,SEA @ ARI,ARI -1.5,43.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,MIN @ PIT,PIT -1.5,41.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,WAS @ ATL,ATL +1.5,45.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,NO @ BUF,BUF -14.5,47.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,CLE @ DET,DET -10.5,47.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,TEN @ HOU,HOU -6.5,41.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,CAR @ NE,NE -6.0,44.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,LAC @ NYG,NYG +5.5,45.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,PHI @ TB,TB +2.5,45.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,IND @ LA,LA -5.5,47.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,JAX @ SF,SF -4.5,46.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,BAL @ KC,KC +2.5,48.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,CHI @ LV,LV -1.5,46.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-28,GB @ DAL,DAL +4.5,48.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-29,NYJ @ MIA,MIA -2.5,44.5,2025-09-18 21:36:32.641077+00:00,early_posted
4,2025-09-29,CIN @ DEN,DEN -6.5,44.5,2025-09-18 21:36:32.641077+00:00,early_posted
